,Persistence,Prophet,RandomForest,Bens Best Guess,BOM Forecast
2020-10-08,17.0,19.79573821,21.86031724,19.55201849,21.0
2020-10-09,21.0,19.79573821,19.24240873,20.01271565,17.0
2020-10-10,17.0,20.25609296,22.889,20.04836432,24.0
2020-10-12,24.0,20.25609296,26.30107143,23.5190548,17.0
2020-10-13,17.0,20.25609296,17.903,18.38636432,24.0
2020-10-14,24.0,20.26862943,22.05,22.10620981,25.0
2020-10-25,13.0,20.268629429491973,17.903000000000006,17.057209809830653,17.0
2020-10-26,17.0,20.268629429491973,17.903000000000006,18.390543143163992,17.0
2020-10-27,18.0,20.268629429491973,21.428047619047614,19.898892349513194,19.0
2020-10-28,20.0,20.268629429491973,18.7,19.656209809830656,21.0
2020-10-29,19.656209809830656,20.3561446525746,18.51,19.50745148746842,20.0
