date,location,today+0,today+1,today+2,today+3,today+4,today+5,today+6
2020-09-25,Melbourne,12,13,14,15,20,21,22
2020-09-26,Melbourne,13,14,15,21,19,20,24
2020-09-27,Melbourne,14,15,21,19,20,24,21
2020-09-28,Melbourne,15,21,19,20,27,28,16
2020-09-29,Melbourne,21,20,20,26,28,20,17
2020-09-30,Melbourne,19,20,26,27,17,17,17
2020-10-01,Melbourne,20,26,27,24,15,15,18
2020-10-02,Corryong,24,28,28,20,19,21,18
2020-10-02,FallsCreek,11,15,15,8,6,8,6
2020-10-02,Melbourne,27,28,25,14,15,18,20
2020-10-02,Mildura,33,35,34,18,19,22,23
2020-10-02,WilsonsProm,24,23,19,14,13,14,16
2020-10-03,Corryong,28,28,22,17,18,18,19
2020-10-03,FallsCreek,14,15,8,4,7,6,7
2020-10-03,Melbourne,28,27,15,15,17,18,18
2020-10-03,Mildura,35,35,20,19,21,20,23
2020-10-03,WilsonsProm,23,19,14,13,15,15,16
2020-10-04,Corryong,28,23,17,20,18,20,23
2020-10-04,FallsCreek,15,8,3,9,7,8,11
2020-10-04,Melbourne,28,14,15,17,21,20,21
2020-10-04,Mildura,36,19,18,17,22,23,26
2020-10-04,WilsonsProm,21,14,13,15,16,16,17
2020-10-05,Corryong,25,20,21,19,17,21,23
2020-10-05,FallsCreek,10,7,9,7,5,8,11
2020-10-05,Melbourne,14,14,18,19,19,20,20
2020-10-05,Mildura,19,20,17,19,23,27,28
2020-10-05,WilsonsProm,14,14,15,17,16,16,16
2020-10-06,Corryong,19,19,19,16,20,22,23
2020-10-06,FallsCreek,7,8,8,4,8,9,12
2020-10-06,Melbourne,14,18,19,19,19,18,24
2020-10-06,Mildura,19,17,18,22,26,25,26
2020-10-06,WilsonsProm,14,15,18,16,15,15,16
2020-10-07,Corryong,19,20,17,20,22,23,23
2020-10-07,FallsCreek,9,8,4,8,9,10,12
2020-10-07,Melbourne,17,19,18,21,19,21,23
2020-10-07,Mildura,17,18,21,26,28,29,30
2020-10-07,WilsonsProm,15,18,15,16,15,16,16
2020-10-08,Corryong,19,15,20,22,23,23,25
2020-10-08,FallsCreek,7,2,7,10,11,13,13
2020-10-08,Melbourne,19,18,22,17,18,23,26
2020-10-08,Mildura,18,21,26,26,29,30,32
2020-10-08,WilsonsProm,19,15,17,16,15,17,18
2020-10-09,Corryong,16,21,21,23,26,27,26
2020-10-09,FallsCreek,2,8,9,12,13,14,13
2020-10-09,Melbourne,17,21,17,22,25,27,27
2020-10-09,Mildura,21,27,24,28,31,32,34
2020-10-09,WilsonsProm,15,16,16,16,18,18,23
2020-10-10,Corryong,20,23,24,27,25,25,23
2020-10-10,FallsCreek,7,11,12,13,13,13,11
2020-10-10,Melbourne,20,17,24,21,23,23,19
2020-10-10,Mildura,26,24,29,30,31,33,28
2020-10-10,WilsonsProm,15,15,17,17,17,18,16
2020-10-11,Corryong,23,25,27,27,27,22,20
2020-10-11,FallsCreek,11,12,14,14,14,9,7
2020-10-11,Melbourne,17,24,19,26,29,19,18
2020-10-11,Mildura,23,29,32,34,34,23,22
2020-10-11,WilsonsProm,15,17,17,17,24,16,15
2020-10-12,Corryong,24,26,26,26,21,22,19
2020-10-12,FallsCreek,12,13,13,14,8,9,7
2020-10-12,Melbourne,25,17,25,27,18,20,16
2020-10-12,Mildura,28,32,34,34,27,24,23
2020-10-12,WilsonsProm,16,16,17,23,15,16,15
2020-10-13,Corryong,25,26,27,21,21,22,21
2020-10-13,FallsCreek,14,13,13,8,9,10,8
2020-10-13,Melbourne,17,24,25,19,21,18,16
2020-10-13,Mildura,32,34,34,28,28,23,21
2020-10-13,WilsonsProm,15,16,21,14,15,15,15
2020-10-14,Corryong,26,27,21,21,22,21,21
2020-10-14,FallsCreek,13,13,8,9,10,8,9
2020-10-14,LakeEildon,25,26,21,20,20,19,21
2020-10-14,Melbourne,24,25,19,21,18,16,17
2020-10-14,Mildura,34,34,28,28,23,21,23
2020-10-14,WilsonsProm,16,21,14,15,15,15,15
2020-10-14,Melbourne,24,25,19,21,18,16,17
